   ,  ,        ,-,-,X,X,X,X,X,X,X,-,-
   ,  ,-0.05   ,-,-,-,X,X,X,X,X,-,-,-
   ,  ,-0.05   ,-,-,-,-,X,X,X,-,-,-,-
   ,  ,-0.05   ,-,-,-,-,-,X,-,-,-,-,-
 60,           ,X,X,X,X,X,X,-,-,-,-,-
 45, ,         ,-,-,-,-,-,X,X,X,X,X,X
180,  ,-0.05   ,-,-,-,-,-,X,X,X,X,X,X
   ,12,        ,X,X,X,X,X,-,-,-,-,-,-
 60,12,        ,-,X,X,X,X,X,X,-,-,-,-
   ,12,0.05    ,-,-,X,X,X,X,X,X,X,-,-
   ,12,        ,-,-,-,-,X,X,X,X,X,X,-
115,12,-0.05   ,-,-,-,-,-,X,X,X,X,X,X
 60,12,-0.05   ,X,X,X,X,X,-,-,-,-,-,-
   ,12,        ,-,-,X,X,X,X,X,X,X,X,X
   ,  ,        ,-,-,-,X,X,X,X,-,-,-,-
45 ,  ,        ,X,X,X,X,X,-,-,-,-,-,-
45 ,  ,-0.05   ,-,-,-,-,-,X,X,X,X,X,X
   ,15,        ,X,X,X,X,-,-,-,X,X,X,X
   ,15,        ,X,X,X,-,-,-,-,-,X,X,X
   ,15,-0.05   ,X,X,-,-,-,-,-,-,-,X,X
   ,15,-0.05   ,X,X,X,-,-,-,-,-,X,X,X
   ,15,-0.05   ,X,X,X,X,-,-,-,X,X,X,X
   ,15,-0.05   ,X,X,X,X,-,-,X,X,X,X,X
   ,15,-0.05   ,X,X,X,-,-,-,-,-,X,X,X
 60,15,        ,-,-,-,X,X,X,X,X,-,-,-
 30,  ,        ,-,-,-,-,X,X,X,X,X,X,X
 45,  ,        ,X,X,X,X,X,-,-,-,-,-,-
   ,12,        ,-,-,-,-,X,X,X,X,X,X,X
   ,12,        ,X,X,X,X,X,-,-,-,-,-,-
   ,12,        ,X,-,X,-,X,-,X,-,X,-,X
   ,  ,0.05    ,-,X,-,X,-,X,-,X,-,X,-
