   ,  ,0.05 ,   X,-,X,-,X,-,X,-,X,-,X
   ,  ,0.05 ,   -,X,-,X,-,X,-,X,-,X,-
 45,  ,0.05 ,   X,-,-,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,X,-,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,X,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,X,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,-,X,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,-,-,X,-,-,-,-,X
135,  ,0.05 ,   -,-,-,-,-,-,-,-,-,X,-
135,  ,0.05 ,   -,-,-,-,-,-,-,-,X,-,-
135,  ,0.05 ,   -,-,-,-,-,-,-,X,-,-,-
135,  ,0.05 ,   -,-,-,-,-,-,X,-,-,-,-
135,  ,0.05 ,   -,-,-,-,-,X,-,-,-,-,-
 45,  ,0.05 ,   X,-,-,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,X,-,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,X,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,X,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,-,X,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,-,-,X,-,-,-,-,X
135,  ,0.05 ,   -,-,-,-,-,-,-,-,-,X,-
135,  ,0.05 ,   -,-,-,-,-,-,-,-,X,-,-
135,  ,0.05 ,   -,-,-,-,-,-,-,X,-,-,-
135,  ,0.05 ,   -,-,-,-,-,-,X,-,-,-,-
135,  ,0.05 ,   -,-,-,-,-,X,-,-,-,-,-
 45,  ,0.05 ,   X,-,-,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,X,-,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,X,-,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,X,-,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,-,X,-,-,-,-,-,-
 45,  ,0.05 ,   -,-,-,-,-,X,-,-,-,-,X
135,  ,0.05 ,   -,-,-,-,-,-,-,-,-,X,-
135,  ,0.05 ,   -,-,-,-,-,-,-,-,X,-,-
135,  ,0.05 ,   -,-,-,-,-,-,-,X,-,-,-
135,  ,0.05 ,   -,-,-,-,-,-,X,-,-,-,-
135,  ,0.05 ,   -,-,-,-,-,X,-,-,-,-,-
   ,  ,0.05 ,   -,-,-,-,-,-,-,-,-,-,-
   ,  ,0.05 ,   -,-,-,-,-,-,-,-,-,-,-
   ,  ,0.05 ,   -,-,-,-,-,-,-,-,-,-,-
   ,12,0.05 ,   -,-,-,-,X,X,X,-,-,-,-
   ,15,0.05 ,   X,-,-,-,-,-,-,-,-,-,X

